名字,正文,时间,text_result
"
在下鬼達王",@穆白makeup_萬一 ,20191208-20200122,
"
Deja-vu1110",其实这个跟非典类型差不多了，只不过没有非典那么厉害 ,20191208-20200122,
"
Deja-vu1110",我觉得没有必要老是跟非典撇那么清的关系，现在确实是会人传人，可能没有非典那么厉害，我觉得还是挺严重的了，得重视 ,20191208-20200122,
"
Deja-vu1110",呵呵 ,20191208-20200122,
"
Deja-vu1110",N95跟防毒面具似的 ,20191208-20200122,
"
小老先森1874",这 今年在家过年 ,20191208-20200122,
"
小井市民cy",谢谢 ,20191208-20200122,
"
妈妈我想改个名儿",不发热，不过我本身就有会厌囊肿， ,20191208-20200122,
"
气管炎很严重",生命在于运动 ,20191208-20200122,
"
nkso",收到 ,20191208-20200122,
"
追逐霞光似少年",借你吉言 ,20191208-20200122,
"
在深圳的鹿鹿",可能是想着那里首发，同时跟以前的SARS在传播时能更好地区分，几个输出到外地的病例来源都是那里 ,20191208-20200122,
"
tobeakidult",@我们一起来摇呀摇太阳 像我吗 ,20191208-20200122,
"
在深圳的鹿鹿",北方就没有上火的概念，但是身体差免疫力弱了肯定更易感染 ,20191208-20200122,
"
逼格高的海豚",对的 ,20191208-20200122,
"
11子-",对啊 我给你说过 ,20191208-20200122,
"
在深圳的鹿鹿",真要去最好还是考虑自驾，然后人多的地方还是少去。 ,20191208-20200122,
"
在深圳的鹿鹿",这次病毒造成的症状比起SARS传染性跟症状都还轻很多，就是怕人数感染多了基数大了有变异就麻烦。 ,20191208-20200122,
"
苏苏and棋",同瑟瑟发抖 ,20191208-20200122,
"
邱婧Jei-",时刻戴口罩 ,20191208-20200122,
"
张嫣yyyyy",@马焕彰Warrior ,20191208-20200122,
"
在深圳的鹿鹿",节前是大学生外出务工返乡，节后可能就是带着病原体返回城市，口罩也涨价断货了。 ,20191208-20200122,
"
逼格高的海豚",@邱婧Jei- ,20191208-20200122,
"
逼格高的海豚",少出门 ,20191208-20200122,
"
优雅的Kaka",说了半天等于没说。。 ,20191208-20200122,
"
jiaoxiang_",@LLXETA????广东有了，你注意点 ,20191208-20200122,
"
奶霜尤尤果茶",感冒好几天了，前几天嗓子疼这几天不疼了，也醒不出鼻涕，但是还是感觉鼻子囔囔的 ,20191208-20200122,
"
王志文1988_544",^_^ ,20191208-20200122,
"
小雅采薇采薇",北大医院去世一个，来不及转院的 ,20191208-20200122,
"
蛊蓼",@嗷呜子喵喵 ,20191208-20200122,
"
澄-清",@小黏就叫小黏 ,20191208-20200122,
"
噗噗20865",这次这个病的源头是武汉，而且在其他省发现的病例，目前为止发现都是去过武汉的，但是深圳的这8个人没说去没去过武汉，之前的深圳那1例，北京大兴2例，浙江2例等等，都是去过武汉的 ,20191208-20200122,
"
白江海",@少女鑫0516 瑟瑟发抖@ 一下你 ,20191208-20200122,
"
GH0zvL-此号报废-勿信",我在南锣鼓巷住了五天 ,20191208-20200122,
"
噗噗20865",有没有发热的情况？多喝淡盐水，非典那会我反复高烧不退，H1N1的时候也中招，他们都是给我吃药，喝淡盐水，不过两次都不是非典，H1N1。只是体质差，跟风发烧 ,20191208-20200122,
"
小不点多多来了",年将近，愿你我他平平安安。 ,20191208-20200122,
"
汪锐锐_",我在武汉地铁上，回家去……应该没问题吧，哈哈。 ,20191208-20200122,
"
KKKK27",我绝对你是自己说自己。 ,20191208-20200122,
"
唐山齐彦祖",赶上春运呢????估计节后????全国各地都会有。。。 ,20191208-20200122,
"
肥猪麦麦",你是说我带节奏吗？随便吧你就尽管吃上火的不要吃降火的。 ,20191208-20200122,
"
感谢你这么漂亮还艾特我",get. ,20191208-20200122,
"
KKKK27",棒子文化还是弱了点，文不答题 ,20191208-20200122,
"
Chow_zzk",我是武汉的 ,20191208-20200122,
"
SUZAKU诗哲",医护工作者们加油！！！！！！！ ,20191208-20200122,
"
1棵青菜",少进人堆，多戴口罩。 ,20191208-20200122,
"
大伦子的小粉丝儿",为了让我这样的普通人能看懂也是费心了  ,20191208-20200122,
"
Fish今年要发财",??最近肺炎很严重 男孩子尽量不要出门到处跑 特别是酒吧ktv夜总会场所 人潮拥挤 容易感染 没关系 来我房间就好 我房间每天空荡荡 ,20191208-20200122,
"
肥猪麦麦",我不是医生，但是上火就针对自身状况选择最适合的降火方式就对了。注意卫生尽量少去空气不好的地方。 ,20191208-20200122,
"
谷小傻瓜",????????? ,20191208-20200122,
"
武修毅",收到！ ,20191208-20200122,
"
Shirley_Ho",又不是你你當然不怕你們男生就會嘴巴說說 ,20191208-20200122,
"
傲慢又孤独",我也是感冒咳嗽流鼻涕三四天了还没有好 瑟瑟发抖 ,20191208-20200122,
"
jinweiwei-0312",好 ,20191208-20200122,
"
KKKK27",我的中心是中国的以后，不是苏联的过去。 ,20191208-20200122,
"
KKKK27",只是用苏联的结局来做一个比喻，并没有要深入分析苏联形成这个结局的原因。 ,20191208-20200122,
"
幸福像花哇",关注自己的生命关心身体的状况，养成健康的生活方式，是一种对生命负责任的态度。 ,20191208-20200122,
"
络驿",不知道 ,20191208-20200122,
"
一只慢慢爬的蜗牛壳",应该是炎症了，不要再服用感冒药，需要服用消炎药 ,20191208-20200122,
"
不浪漫的土耳其4719",小场面 ,20191208-20200122,
"
失眠少女想睡觉",@Yoga牟 @布噜布噜嘣 ,20191208-20200122,
"
取名字啥的真伤脑筋",看完后我咳嗽的越来越厉害了 ,20191208-20200122,
"
奶茶太胖人了",呜天呐～收到! ,20191208-20200122,
"
黑擇明Kitsch",收到！ ,20191208-20200122,
"
W_努力努力更努力",哼 ,20191208-20200122,
"
光头到底用什么洗头",不要紧的，我命大 ,20191208-20200122,
"
Virgo小宇宙",麻蛋，咳嗽的我瑟瑟发抖 ,20191208-20200122,
"
凡士林FantasyLin",转发微博 ,20191208-20200122,
"
Benly_Ng",唔怕唔怕 ,20191208-20200122,
"
爱音乐非常爱音乐的人",注意卫生啊 ,20191208-20200122,
"
南山之雾",？？？？？？？ ,20191208-20200122,
"
被风吹过的夏天_55",为什么还没找到什么原因引起的 ,20191208-20200122,
"
ccicforever",昨天刚感冒 ,20191208-20200122,
"
阿花超凶的",@人生不随意不将就 最近都乖乖在家里吃 ,20191208-20200122,
"
盆闲",@小井市民cy ,20191208-20200122,
"
肥鳝鱼不会crossover",儿扇。我爸刚给我说了。 ,20191208-20200122,
"
Ocean-柴",发烧、乏力、咳嗽，幸好还打喷嚏流鼻涕，是不是不用隔离了 ,20191208-20200122,
"
歸暮念葵_",猪意了！！！记得带口罩@蔡徐坤 记得换口罩哦 ,20191208-20200122,
"
Bestlife百灵",转发科普一下，我们都要健健康康开开心心的 ,20191208-20200122,
"
芝纯与赤玟",@锦城学生农场四公司 ,20191208-20200122,
"
一个金子-",@一个盒子- ,20191208-20200122,
"
怪怪GeForce",就差你了 ,20191208-20200122,
"
一个家兔",@9-3W ,20191208-20200122,
"
周易命理策划酉金老师",感谢分享 ,20191208-20200122,
"
傻傻糖娜娜Ray",#广东确诊1例新型冠状病毒感染肺炎病例# 年底了，希望每个人都能健健康康的，团圆平安过大年 ,20191208-20200122,
"
青芒的森林",炖点梨汤试试 ,20191208-20200122,
"
穿秋裤了马",@下辈子我想做头猪 ,20191208-20200122,
"
乌鸦坐灰鸡丶",明白！ ,20191208-20200122,
"
马O楠",@Tenide ,20191208-20200122,
"
KKKK27",苏联是过去时，暂且不提。战略部署中国从古代玩到他妈现代，每个普通中国人心里跟明镜一样清楚每一招每一式，只是不说罢了！ ,20191208-20200122,
"
Shepardyyan",已经取消深圳香港的行程 ,20191208-20200122,
"
好想睡个好觉是个小疯子",节后武汉籍返工，会不会让疫情扩大？ ,20191208-20200122,
"
每天都要吃一斤蔬菜",准备去深圳旅游的，现在这个情况好不放心，机票都买了。不知道该怎么办 ,20191208-20200122,
"
白开水很好喝s",哈哈哈哈哈????神经病 ,20191208-20200122,
"
刘楚爷",好 ,20191208-20200122,
"
排骨味的糖醋鱼",防患未然，公共场所记得带上口罩?? ,20191208-20200122,
"
c_xiaoo",好哦 ,20191208-20200122,
"
日思夜想SK",现在是年关啊，要办年货的呀，怎么可能不去人流密集的地方吗，怎么可能不去市场啊，在家喝西北风过年吗 ,20191208-20200122,
"
Rachel璇璇撒",收到 ,20191208-20200122,
"
Dreggman79168",抗生素对病毒无效 ,20191208-20200122,
"
八垃拔蜡小馍鲜",@Rachel璇璇撒 ,20191208-20200122,
"
_南十方小霸王_",这一天天的怪吓人的 ,20191208-20200122,
"
妈妈我想改个名儿",我也是，嗓子疼 ,20191208-20200122,
"
猛虎下山之你别怂啊",回家带个口罩人多 ,20191208-20200122,
"
JustinYoon",@wCoco_ ,20191208-20200122,
"
tianjiexingzhe",再次慢了。各种专家和媒体说不会人传人。。。。嗯，那么怎么传染的？ 症状轻？你能预见未来。上次萨斯的时候，出来辟谣的那些人是不是应该拉出来毙了？ 传染病，往严重了防比死人要好 ,20191208-20200122,
"
厚情书",注意点 ,20191208-20200122,
"
玻璃机器",嗯嗯嗯！码住了！你也要注意安全啊 ,20191208-20200122,
"
葡萄糖里有葡萄吗",@早早睡就不困了啊 ,20191208-20200122,
"
笨笨HHHH",说白了 治疗也是给你打抗生素 ,20191208-20200122,
"
小陈爱吃黄蚬子",@静山君在这里 ,20191208-20200122,
"
宝藏虾滑",@Xl-lXC 预防！给我预防！ ,20191208-20200122,
"
ine66",??加油干 ,20191208-20200122,
"
SWiLdDEr_",武汉肺炎是要持续十多天38度高烧不退啥的 之前看有说的 不放在可以去医院看看????现在也是感冒的高峰期 自己多注意保暖啥的 ,20191208-20200122,
"
赵汝浜",@多多躲不躲 ,20191208-20200122,
"
很高兴遇见你臭rr",收到！ ,20191208-20200122,
"
ine66",我也觉的是 ,20191208-20200122,
"
2021要加油的小肥牛",哈哈好 ,20191208-20200122,
"
MSJoseph",都叫武汉肺炎了，您已进入病毒高发区 ,20191208-20200122,
"
shinefun2019",作为官媒，请严肃命名！不要双标！ ,20191208-20200122,
"
-某某方",@FANZIJIAIJIZNAF ,20191208-20200122,
"
donttellme04454",n95过了，一般口罩足够了 ,20191208-20200122,
"
超迷泰坪",转发微博 ,20191208-20200122,
"
猫眼的世界",谁命名的“武汉肺炎”？ ,20191208-20200122,
"
LoooopXiXi",@轻薄的什么喵 ,20191208-20200122,
"
Chh-5758",@让我再看你忆眼 ,20191208-20200122,
"
雷神之锤9003",转发微博 ,20191208-20200122,
"
关于舟",收到 ,20191208-20200122,
"
杨瑶尧",@Kkkk库里 ,20191208-20200122,
"
PW麦哈尼QvQ",不是非典变异，是冠状病毒变异，非典也是冠状病毒变异 ,20191208-20200122,
"
唐笔西",难道是鸭脖惹的祸？ ,20191208-20200122,
"
ine66",哦?? ,20191208-20200122,
"
-独行猫与少女-",我只能推口罩了 ??评论配图 ,20191208-20200122,
"
jusealm就是王森森森森森森森森",药店没有N95 淘宝已经停止发货了 ,20191208-20200122,
"
Terrorism77",@Ann小咪 ,20191208-20200122,
"
-親愛的瑪嘉烈",在这问还不如去检查下呀 ,20191208-20200122,
"
只要现在开始一切都还来的及",？？？？？？？？？？？？？？？ ,20191208-20200122,
"
黯然无光1982",663,20191208-20200122,
"
_水族馆冷焰火",天 我也是 去北京回来第二天就发烧了，咳嗽到现在还没完全好 ,20191208-20200122,
"
J-Miiei",活禽……这个对广东人有点难，我的白切鸡怎么办 ,20191208-20200122,
"
阿喵的铲屎官_",@胡宝慧Max ,20191208-20200122,
"
渣游戏策划的日记簿",经过了sars，经过了大大小小的呼吸道病毒肆虐，政府部门确从来不考虑立法规管随地吐痰和直接往公共垃圾桶吐痰、便溺的行为，大街上人们吐痰吐的欢天喜地，就好像吐痰有奖似的 ,20191208-20200122,
"
-親愛的瑪嘉烈",口罩脱销了咋整 ,20191208-20200122,
"
北-萱_宝",过年去深圳玩有点担忧 ,20191208-20200122,
"
蓝色多瑙河jing12",1月11号我去了武汉，回家后的第三天出现流鼻涕，打喷嚏，浑身乏力，头晕，我吃了感冒药，两天之后好了，但是现在每天很乏力，并没有发烧，应该没事吧！ ,20191208-20200122,
"
北京叶子整形",3最好选用四根绑带的口罩，不选择挂耳口罩。原因主要是贴合性和舒适性两方面。（太紧的挂耳口罩待久了，局部受压会不舒服，太松的不贴合） 4医用防护级别口罩，皮筋和口罩也是绕头一周的，可以带。但呼吸舒适感更差一些。 5一次性口罩不要反复使用 ,20191208-20200122,
"
一只柠檬xyqqq",患病率最高的是医护人员！！家母是医生深知其辛苦????带好口罩为别人也为自己。 ,20191208-20200122,
"
返回服务号",我2019年12月17号开始感冒的，到现在还没好，前中期流鼻涕 喉咙痛，后期干咳 ,20191208-20200122,
"
儛文弄嚜",转发了 ,20191208-20200122,
"
不吃菜的喵星人",@西瓜太郎和芒果君zZ ,20191208-20200122,
"
圣魔法师frozen",科学解释，防范自身。 ,20191208-20200122,
"
hello所以你是垃圾桶吗",@什么时候能娶到肉 ,20191208-20200122,
"
-董大嘴",我现在… ,20191208-20200122,
"
杨二少yjt",连花清瘟胶囊 ,20191208-20200122,
"
KKKK27",国人先恐慌起来，再地域对抗，再假戏真做，再各个击破，再引发集体方向性错误，结婚就苏联了 ,20191208-20200122,
"
t1老鼠先死个马",别活着 ,20191208-20200122,
"
Panda鸽鸽",埃博拉病毒,20191208-20200122,
"
北京叶子整形",最近很多有关流感和肺炎的新闻。大家都说要买外科口罩。和大家简单说几点。 1外科口罩和n95口罩在公共环境下预防效果相当。带呼吸阀的n95口罩不能起到同级别防护效果。因此，请买医用外科口罩和n95不带呼吸阀的口罩。 2外科口罩有不同颜色，请务必将深色面朝外，深色面是防水层。不要带反了。 3最好选 ,20191208-20200122,
"
阁楼里的酒",@春眠不觉晓啦啦啦 ,20191208-20200122,
"
blingbling樂不靈",我妈在家里养了两只鸡真的很烦又臭 ,20191208-20200122,
"
喵喵是只小老虎",我咳嗽快一个月了，差点吓死，还好不是虚惊一场 ,20191208-20200122,
"
momi168",少出门，出门戴口罩?? ,20191208-20200122,
"
亚笛尔",这不是新型病毒吗？怎么变成了武汉肺炎？ ,20191208-20200122,
"
沁-YM",你快别和我说话 ,20191208-20200122,
"
小杰瑞00",別搞到惠州也有 ,20191208-20200122,
"
上有老下有小6688",我今天就没领儿子去游乐场玩 ,20191208-20200122,
"
快乐无比硕硕子",会注意的 ,20191208-20200122,
"
子雪子",@感谢你这么漂亮还艾特我 ,20191208-20200122,
"
名叫长河",武汉比较严重????前期有瞒报吗？现在都传到我温州了 ,20191208-20200122,
"
雀九儿",@阿硕今天也很乖 ,20191208-20200122,
"
坏坏的光头",不是说不会人传人吗？ ,20191208-20200122,
"
Liebeworte·",@kiliie ,20191208-20200122,
"
pilipalahoo",@自闭怪怪 @我是真的很能吃_ ,20191208-20200122,
"
ICU_I4CU",WHO有个专有名称2019-nvoc ,20191208-20200122,
"
KKKK27",感觉一盘大棋在中国大地酝酿。 ,20191208-20200122,
"
可爱时尚龙",还是希望大家不要忘了非典是咋来的 ,20191208-20200122,
"
线团毛线",@Double柑橘 春运多注意 ,20191208-20200122,
"
一叶之朝",@玻璃机器 ,20191208-20200122,
"
苏子安工",到现在病源不确定，传播途径不确定，如何防控？ 我是不相信可防可控的言论了。慌死了，口罩买了一箱。84消毒液也备好。 ,20191208-20200122,
"
富贵美丽招财妈",看啦 爱你?? ,20191208-20200122,
"
A-ThousandYearss",@wuwuwu逸大爷 ,20191208-20200122,
"
shinefun2019",作为这么权威的机构，用词好随意，在医学问题上能不能更严谨一些呢？在武汉最先查出来的冠状病毒就叫,20191208-20200122,
"
Try0082019",这个冠状病毒肺炎已经直接叫“武汉肺炎”？！ ,20191208-20200122,
"
什么都挺好吃",多半是气管炎 医院拿点药就好了 ,20191208-20200122,
"
财玖玖",扩散 ,20191208-20200122,
"
2021要加油的小肥牛",我很方 ,20191208-20200122,
"
电竞少女夏尔酱",@予乔_c ,20191208-20200122,
"
困也舍不得睡",身在武汉，已经咳嗽十几天了，没有发热，因为是孕期，乏力也是正常的，搞得我慌的一逼 ,20191208-20200122,
"
有且仅有我_",转发微博 ,20191208-20200122,
"
半生染墨",要小心啊各位 ,20191208-20200122,
"
猫眼的世界",谁命名的“武汉肺炎”？ ,20191208-20200122,
"
我是一个大好人啊啊啊啊",@小孩不吃糖啊啊啊啊 ,20191208-20200122,
"
-独行猫与少女-",@有时间不如好好读书 ,20191208-20200122,
"
请叫我teng",??，谢谢呀 提前祝春节快乐?? ,20191208-20200122,
"
千淘万漉789",没有感觉到紧张 ,20191208-20200122,
"
李一一的憨憨袁",好滴 宝贝 ,20191208-20200122,
"
沫MOMO沫",天天用生命在上班还要被病人投诉 我晕 今天中午我安安静静的上个班 锅从天上来 ,20191208-20200122,
"
5官决定三观",作为官博，直接称呼“武汉肺炎”是否恰当？ ,20191208-20200122,
"
人类小卜_",@您的沙雕网友或许略略略 ,20191208-20200122,
"
拉崩创可贴",@MuteMing ,20191208-20200122,
"
暴力小仙套",@注册点赞师 ,20191208-20200122,
"
5官决定三观",对，好过分，谁给的权力叫武汉肺炎 ,20191208-20200122,
"
粤下赤绳丶",几天了，刚开始睡醒起来喉咙疼有浓痰不咳嗽。过了两三天就喉咙有点痒不舒服就要咳嗽。其他的就没啥的 ,20191208-20200122,
"
是冰心阿阿",@我想改名叫闫鑫 你戴口罩回来 ,20191208-20200122,
"
5官决定三观",已经叫“武汉肺炎”了？ ,20191208-20200122,
"
LondonstyleV",就是，什么叫武汉肺炎 ,20191208-20200122,
"
扬帆起航Music",收藏起来 ,20191208-20200122,
"
挣钱养蒙蒙的ZZ-Jacob",@去年夏天LMM 划重点 ,20191208-20200122,
"
Zocc",感冒的我瑟瑟发抖…… ,20191208-20200122,
"
六囍吖_",这个好治疗 ,20191208-20200122,
"
无糖奈奈",多加小心，口罩备好 ,20191208-20200122,
"
佛祖保佑招财",你在武汉吗？ ,20191208-20200122,
"
我没有粉儿",哈哈哈哈哈哈understand！ ,20191208-20200122,
"
延庆府小王爷",@卢克文 @紫光阁 @央视新闻 @新浪新闻 预防很重要 ,20191208-20200122,
"
六囍吖_",疼吗 ,20191208-20200122,
"
我家有个小天使yy",。 ,20191208-20200122,
"
AsssssSong",深圳的宣传都比武汉好。要不是今天突然爆出来，武汉人民没见几个戴口罩出门的 ,20191208-20200122,
"
午后苦咖啡-TS",手下 ,20191208-20200122,
"
-曲Plz",晓得了 ,20191208-20200122,
"
-Garfield的镜子",@李一一的憨憨袁 ,20191208-20200122,
"
马达加斯加de企",我都咳一个月了，每天都在剧烈的咳嗽，吃什么药也不好 ,20191208-20200122,
"
真服乐",@几勺奶酪er- 医院更要注意 ,20191208-20200122,
"
离别是怅然若失",。 ,20191208-20200122,
"
比你牛",很不错哦。 ,20191208-20200122,
"
Pf但业3_mQ",，真可怕呀，哈哈 ,20191208-20200122,
"
ohoen1x",@小兽星z ,20191208-20200122,
"
可怜后主",@人间蹉跎指南 ,20191208-20200122,
"
牛神nddpg111",盼尽快控制住，防扩散才是当务之急。 ,20191208-20200122,
"
_笙歌会停",emmm，养鸡的呢… ,20191208-20200122,
"
莱莱莱莱6376696995",一 ,20191208-20200122,
"
tontonhsksbssiaj",勤洗手 ,20191208-20200122,
"
Ashley木芩",预防都是一样的 ,20191208-20200122,
"
最喜欢加藤惠啦",我可以带防毒面具吗？哈哈 ,20191208-20200122,
"
奇异果就像饭团",有没有预防针打了？打了有安全感 ,20191208-20200122,
"
-GeMiniT-",我热咳嗽一个多月了一直都没好，每次咳嗽旁边的人就会投来异样的眼光 ,20191208-20200122,
"
Ashley木芩",第一个是怎么感染上的 ,20191208-20200122,
"
leslie赛兰",朋友们注意预防 ,20191208-20200122,
"
西柚秋哦",@这个哎帝狠流弊 ,20191208-20200122,
"
芒果味tree",能推荐品牌吗 种类太多了 ,20191208-20200122,
"
韩是老韩的韩诶",@Fantastic_Titi_ ,20191208-20200122,
"
333kim",年后感觉更多 ,20191208-20200122,
"
Waconleeds",注意???? ,20191208-20200122,
"
代睿智zzzzz",@一个金子- ,20191208-20200122,
"
翻藻",。 ,20191208-20200122,
"
老张我一直用",转存 ,20191208-20200122,
"
风之狂野35",你多高 ,20191208-20200122,
"
tontonhsksbssiaj",@xme0036 ,20191208-20200122,
"
Boom_沙咔拉咔",@绮长流兮  ,20191208-20200122,
"
我是你最爱的小宝贝咩",@男神居于二次元 ,20191208-20200122,
"
宁小宁的时光之旅",@樱花樱花想见你居士 ,20191208-20200122,
"
坏脾气的三只羊",哈哈哈 一样。到人群密集的地方都感觉胸闷 心病还需心药医啊 ,20191208-20200122,
"
A遛狗姐姐",@我很苛刻的 ,20191208-20200122,
"
AK1981-8-28",怎么出来的啊 ,20191208-20200122,
"
大舅呱",春季本身就是感冒多发期，不用这么敏感注意休息及时就医就行 ,20191208-20200122,
"
ATOMMASON",隔离造成的工作收入损失怎么处理 ,20191208-20200122,
"
不想黑眼圈a",@蹉跎Ivan ,20191208-20200122,
"
_凌萱",@壹木木木木 ,20191208-20200122,
"
-野原小新子-",转！！！ ,20191208-20200122,
"
永远追随兰草",现在我在叮当快药上看，医用口罩已经无货了 ,20191208-20200122,
"
ouareadog",才吃了一只武汉送过来的鸡，有点慌 ,20191208-20200122,
"
Emtatilkicatuo",@HaHa晓茹 ,20191208-20200122,
"
小婧爱打瞌睡",好嘞 ,20191208-20200122,
"
Alcmene11237",嗯 ,20191208-20200122,
"
StarrCollector-r",我的??拜托我跟你说 不要激动 ,20191208-20200122,
"
第一评",区域隔离 ,20191208-20200122,
"
最后一排左靠窗",我回来了 ,20191208-20200122,
"
进击的小乌贼",@bugaicbc ,20191208-20200122,
"
宋一凡凡",x ,20191208-20200122,
"
這裡沒什麼好看",请你少抽烟！ ,20191208-20200122,
"
谢阿秋玉dieche",太可怕了 ,20191208-20200122,
"
哎唏呸",别出门浪 ,20191208-20200122,
"
无记性hhh",快递口罩发不了怎么办 ,20191208-20200122,
"
野原葵川_",尽量少出门 出门戴口罩！ ,20191208-20200122,
"
HedgehogPer",保持健康～ ,20191208-20200122,
"
陈v博",本来啥事没有，看完以上症状全部出现，我死了 ,20191208-20200122,
"
于冬而眠-",有药吗，有药我就不怕 ,20191208-20200122,
"
离别可惜",@只会琴女的小辅助 ,20191208-20200122,
"
BLackOpuim",@吉翃雨辰 ,20191208-20200122,
"
圆容渊A-CUC",@___Mo__ ,20191208-20200122,
"
ormochi",我吃了m记就开始咳嗽了苦涩早知道就不吃这么多热气的东西了 ,20191208-20200122,
"
ZS丶伽橙",我不出门是不是就没事 ,20191208-20200122,
"
带走我的是一片云彩",你武汉做得好 ,20191208-20200122,
"
windeer-",可怕 ,20191208-20200122,
"
追风逐波的春天",春节到了流动的人多了，按图索骥，不要慌张，防范于未然。 ,20191208-20200122,
"
长脚的鱼321",收藏 ,20191208-20200122,
"
宋你一颗真心z",怎样区分普通感冒和冠状病毒呢？潜伏期又是多久 ,20191208-20200122,
"
Biaaaaan",@恩恩恩恩恩晓安 ,20191208-20200122,
"
中医莫大夫",@FuckYeahFloyd ,20191208-20200122,
"
双姝艳198511",转发 ,20191208-20200122,
"
折花江南雨",我决定不出家门了，宅在家吃素 ,20191208-20200122,
"
于是乎7517",不要强调比萨斯弱，引导加强防护 ,20191208-20200122,
"
家囿倆寳",出门戴口罩，少去人多的地方 ,20191208-20200122,
"
川上将",这是与确诊患者有亲密接触，需要隔离观察 ,20191208-20200122,
"
teresa7liu",好的！！！ ,20191208-20200122,
"
月鸟无足",敬礼！ ,20191208-20200122,
"
小方ouo",@阿屎的龟 你看一下 我早上收藏的 ,20191208-20200122,
"
森罗万象IMDB",承认就是新型SARS到底有多难 ,20191208-20200122,
"
天乐峰",预防好！ ,20191208-20200122,
"
CatherIne瑰",恐怖 各位尽量带上口罩！ ,20191208-20200122,
"
kiiono",@UNINE_胡春杨 ,20191208-20200122,
"
Allison小A",@念-Letty ,20191208-20200122,
"
Secret任任",@顺其自然的乖宝宝 ,20191208-20200122,
"
可乐酥肉糊糊喵",什么叫武汉肺炎？谁他娘起的？ ,20191208-20200122,
"
球哦球",收到 ,20191208-20200122,
"
阳酱",深圳返乡的太多了，节后才真的害怕 ,20191208-20200122,
"
YIBOsusu",东北这边也需要预防么 ,20191208-20200122,
"
现在是20210109我又改名了",医学生只知道，冠状病毒，是单正链RNA病毒，有包膜 ,20191208-20200122,
"
我不会再胖下去了",小毛收到 请小钱同志也做好预防工作！ ,20191208-20200122,
"
倥旧疤谋",割腕 ,20191208-20200122,
"
迦蓝之南_",@西红柿小点心 ,20191208-20200122,
"
迦蓝之南_",我一直流鼻涕！有点方啊 ,20191208-20200122,
"
我是狗熔汪汪汪",@霞咪-S ,20191208-20200122,
"
孙二车姆太郎",???? ,20191208-20200122,
"
Shirley_Ho",@Benly_Ng ,20191208-20200122,
"
今天发型很酷",带口罩 ,20191208-20200122,
"
叭吶吶吧",收到 ,20191208-20200122,
"
路过蜻蜓sibyl",转发扩散 ,20191208-20200122,
"
Aaron燕燕呀",我也是。。。 ,20191208-20200122,
"
杰哥是只猫",@阿布也是猫 ,20191208-20200122,
"
SIapaMC",@LIILUI ,20191208-20200122,
"
结果的结MMA",新型病毒性武汉肺炎，如何防？ ,20191208-20200122,
"
追着朝阳的小蜗牛",@你垚垚啊 @neverhaveadreamcometrue ,20191208-20200122,
"
ma1Liam",@橘子的水族馆好多鱼 ,20191208-20200122,
"
果然Cong",药店好几个买口罩的 ,20191208-20200122,
"
亡龙子轩",不去武汉不就防住了？华南海鲜那边全封了，现在去汉口，就是老寿星上吊，嫌命长 ,20191208-20200122,
"
小镇nana",@今天发型很酷 ,20191208-20200122,
"
-Rogerwang",@佳雯Studio ,20191208-20200122,
"
孙悟空_不重名",怎么能少了中医的防治指南？ ,20191208-20200122,
"
安广禄",转发扩散，共同防御，平安过冬 ,20191208-20200122,
"
www好孩子",？？？？ ,20191208-20200122,
"
追逐霞光似少年",急性支气管炎，咳了一个星期多，吃药两天了，还没好，有点瑟瑟发抖 ,20191208-20200122,
"
没魂灵",@枫枫的姐姐和毛毛的妹妹 ,20191208-20200122,
"
柏初心_",@吴彦祖东明分祖 ,20191208-20200122,
"
喵星人爱吃萝卜吗",@B·FS 必死无疑 ,20191208-20200122,
"
神智妍",@青禾zio @南山公墓守夜人 @Kris巧鹅 @蓝海没有fish @笔墨丹青山 ,20191208-20200122,
"
夏天梁ghost",@心态崩了20吧 ,20191208-20200122,
"
神智妍",@-倦念- ,20191208-20200122,
"
神智妍",@暮江孤舟 ,20191208-20200122,
"
橙色小番茄",@吕雳 我天天跟你一起都没事儿…你那应该不是个事儿 ,20191208-20200122,
"
雨-嘻嘻-",???????? ,20191208-20200122,
"
鱿鱼鱼",刚吃了上火的pizza ,20191208-20200122,
"
晴雨天空88",让更多的人看到 ,20191208-20200122,
"
我爱我家小小猪",多多注意！ ,20191208-20200122,
"
哈尼大大爱看剧1",好不好治 毕竟谁也不想去医院 做好防护 ,20191208-20200122,
"
我超级攻",早上起来到现在身体还是有点发热，其它没有不适，不会中招了吧？ ,20191208-20200122,
"
幻离如真",收到 ,20191208-20200122,
"
汪紫睿",@一支少女 ,20191208-20200122,
"
圆了咕嘟的肚子总是叫",@乌鸦坐灰鸡丶 ,20191208-20200122,
"
我的長征人生路",轉發微博 ,20191208-20200122,
"
shinefun2019",现在已经医学名词了 ,20191208-20200122,
"
邻家小二丶",可最关键的到底能不能治好，只字未提 ,20191208-20200122,
"
素质米粉",我想说下，国外科技媒体都有说非典新变异病毒，我就不明白了，他们哪来的病毒，我们早他们半个月才研究出来结构，他们一晚上就说是非典变异病毒，外媒真的是胡说八道 ,20191208-20200122,
"
邱邱邱邱邱邱邱邱邱旭文",请你少抽烟！ ,20191208-20200122,
