名字,正文,时间,text_result
"
熊仔泡芙",希望接下来的都是好消息??武汉加油！中国加油！感谢康复者的无私！ ,20200210-20200213,
"
将诚信_进行到底", 治疗性新冠特免血浆制品投入临床！ ,20200210-20200213,
"
答应我清醒一点好吗",好消息，提倡痊愈者献血，希望是自愿为前提千万不能道德绑架以及强制献血。 ,20200210-20200213,
"
0809华jin",18,20200210-20200213,
"
清清淸清淸_",这种抗体能存活多久？ ,20200210-20200213,
"
甜心小仙草",目前在缺乏疫苗和特效治疗药物的前提下，采用这种特免血浆制品治疗新冠病毒感染是最为有效的方法，可大幅降低危重患者病死率。由国药中国生物承担的“2019-nCoV感染恢复期患者特异血浆和特异免疫球蛋白制备”项目是科技部组织制定的国家重点研发计划“公共安全风险防控与应急技术装备”重点专项！ ,20200210-20200213,
"
blingbling糖丢丢",@双双爱吃辣 ,20200210-20200213,
"
青草莓6576",你也不能把中药当饭吃啊……抛开剂量谈毒性都是耍流氓，中药吃多了对女性对男性身体也都不好哦 ,20200210-20200213,
"
青草莓6576",没想到您这么爽快地承认了自己的无知 ,20200210-20200213,
"
国资小新",#治疗性新冠特免血浆制品投入临床#】良性循环已经来了！大部分新冠肺炎患者康复后，体内会产生新冠病毒的特异性抗体，可杀灭和清除病毒。康复的病人越多，血浆就越多，血浆越多，康复的病人就越多。所以，我们倡议更多的康复病人加入献血的队伍@健康中国 @湖北发布 @武汉发布 L人民日报的微博视频 ,20200210-20200213,
"
价值投资观察员",康复者血浆有限，而且存在其它血液传染病传播的风险，最好的治疗方案是单抗或者疫苗，这两者需要时间长，其次就是抑制病毒复制的抗病毒药，只能期待瑞德西韦临床实验的成功了。 ,20200210-20200213,
"
吉林老马",这不就是药么！ ,20200210-20200213,
"
珠宝木子1010",一针灵坑人啊 ,20200210-20200213,
"
修心阿即", 請幫忙轉發一下！//@宇懿Alex,20200210-20200213,
"
小可可不可_",这么大的灾难，那么多医护人员冒着被感染的风险，没日没夜的工作，全国各地捐钱捐物资，被治愈的患者在不影响自身的前提下献点血，这个请求不过分，相信大多数人都是愿意的，疫情不解除，恢复不了正常生活，家人朋友也有被感染风险，献血是为别人也是为自己啊 ,20200210-20200213,
"
多啦D梦s",好的！ ,20200210-20200213,
"
吉林老马",太好了！ ,20200210-20200213,
"
神秘橘子头",好消息 ,20200210-20200213,
"
十里烟花路",哇！！！ ,20200210-20200213,
"
MMenethil",转发微博 ,20200210-20200213,
"
香港黄子华",唉 这个东西并不能大规模研发啊 ,20200210-20200213,
"
大草包1",那就赶紧采集血浆啊。治一个人需要多少血浆啊 ,20200210-20200213,
"
动心了哇",关键时候。还是国企给力呀！ ,20200210-20200213,
"
P-Ligh",中华儿女 血脉相连 相浓于水?????? ,20200210-20200213,
"
我就是小可爱大太阳",这是韩国电影流感里的情节 所以才想到吗 ,20200210-20200213,
"
沙漠大口喝冰水啊",@香港黄子华 ,20200210-20200213,
"
大羽鲲笙_",天啊 感觉在看 流感 这个电影 女主 用抗体携带者的血清 救了女儿 ,20200210-20200213,
"
yan不想你找到我",太好了 ,20200210-20200213,
"
马J容",我之前怀孕的时候抽了好几管子血，最后化验结果有一个是表炕阳性，问大夫说有这个就得不上乙肝了，以后在查一次，没有抗体就打一针，别人又告诉我说只有接触过乙肝患者才会有这个抗体，不然不会产生的，因为我从来没有打过这种针，我也不知道怎么回事了 ,20200210-20200213,
"
二次元不会骗人",@李贤璞的小心肝- @就是爱吃玉米粒 ,20200210-20200213,
"
国际真人魔幻",?? ??????太阳神狮子座！宇宙唯一国际真人魔幻！世界之最微诗集《真牛逼在地球上自有超天事》??  ,20200210-20200213,
"
周周的祈祷",加油加油！！ ,20200210-20200213,
"
青鸟thb",要我说就强制抽血，当然要在献血者安全的基础上！ ,20200210-20200213,
"
傻大个子呦",???????????????????????????????????????????? ,20200210-20200213,
"
全真道士2333",康复者血浆可能带抗体，可能对病毒有作用，但这种抗体不是被注入人本身的抗体。如果注入血浆抗体被身体代谢完自身又不产生抗体，那也就是说，效果即使很明显，也是没有用的。对于这种治疗方法不乐观也不悲观，期待最后实验数据。 ,20200210-20200213,
"
Ang_听见月光Kevin",谢谢你们～一生平安 ,20200210-20200213,
"
NMyyz",希望接下来都是好消息 ,20200210-20200213,
"
人生如梦世安",等待康复，等待出院，然后去献血不知道到时候还需要不 ,20200210-20200213,
"
淡紫色的白",加油！ ,20200210-20200213,
"
乐在寂静中",转发！已康复人员捐出抗体，让更多人康复，这样可以形成正向循环，尽快结束疫情！ ,20200210-20200213,
"
雾雨落韶华",对对对中医啥都不知道 好好找找西医的整形科救救许魏洲开坏的双眼皮 速速速 ,20200210-20200213,
"
当琪怪失迹",@像徐锦江的圣诞老人  ,20200210-20200213,
"
Dur啊",你当我不睡觉的吗 ,20200210-20200213,
"
无糖加啵啵",@------不存在体------- ,20200210-20200213,
"
Eva今日生气了吗",这应该是基本的社会责任感啊！ ,20200210-20200213,
"
宅鹿少年原创设计",带其他病毒都是可以检测到的啊，肯定要筛选检查嘛 ,20200210-20200213,
"
昼短春日迟-",我只害怕 他们有人变成下一个有庆 ,20200210-20200213,
"
什么都挺想吃",好起来了！ ,20200210-20200213,
"
徐把刀",谢谢！ ,20200210-20200213,
"
好厉害812",优先给护士用吧。。。 ,20200210-20200213,
"
萝萝爱公主",希望听到越来越多的好消息！ ,20200210-20200213,
"
能者做不能者教",越是紧急的时候，越不能持这样的心态～你们（康复者）来我们血站嘛，来了我们会详细告诉你，你什么都会明白的。关键在于，如何有利于康复者去血站。说得更清楚一些，尽可能打消一些顾虑，不是更好吗? ,20200210-20200213,
"
皮肤病医生小何",?? ,20200210-20200213,
"
鬧兒總犀利妹",这不就是韩国电影流感么 ,20200210-20200213,
"
-捕-风",你好像住在微博 ,20200210-20200213,
"
漫Flo",果然用康复者 血浆 ,20200210-20200213,
"
能者做不能者教",病毒体外灭活后，理论上是可以作为抗原来诱发免疫系统，提高免疫力的。但本人体内已经有病毒存在，那说明你的免疫系统目前也就那样了，没有什么提高的作用了。 ,20200210-20200213,
"
黎曼平行",被动免疫，这种治疗跟批量生产疫苗是两回事，但愿能遵循自愿献血的原则，以及对个人信息进行登记，限制一定时间内的献血次数和献血量 ,20200210-20200213,
"
最爱亮男神",太好了 ,20200210-20200213,
"
甜味的砒霜",这个靠谱 ,20200210-20200213,
"
病猫一朵",决战时刻要来了，都挺住。加油加油！ ,20200210-20200213,
"
FLYFLYSONG",辛苦啦 ,20200210-20200213,
"
我就不信没有不重的名字",中医的问题在于不能证伪，我相信中医有一定的道理，但是我认为接下来的发展一定要用现代科学去研究透彻才能更方便推广，在很多数据和实验缺乏的时候，大肆鼓吹中医才是导致很多人不相信中医的原因。反正我身边学中医的同学都是在努力搞研究而非吹嘘，身边学西医的朋友也没有拼命抹黑中医，都是在努力 ,20200210-20200213,
"
amy刘思兰", //@向小田,20200210-20200213,
"
生肖10",不是中医就是西医？这叫现代医学 ,20200210-20200213,
"
我什么都要最可爱",多多宣传一下，希望更多康复出院的人能捐献血浆，给与合适的奖励 ,20200210-20200213,
"
能者做不能者教",去了肯定会说清楚，但如果在去之前就说得比较清楚，不是更有利于鼓励康复者去吗? ,20200210-20200213,
"
我想与你-",什么叫循环不知道吗，这治愈的人数会不断上升的啊 ,20200210-20200213,
"
无尽之夜的羔羊",而且温度也回暖了 ,20200210-20200213,
"
能者做不能者教",如果告诉康复患者，按单采血浆方式，一次最多六百毫升，他们接受起来会不会有难度，毕竟刚恢复过来。先说原则上按每次两百毫升，依据献血者的身体情况和本人医院酌情调整可以吗?这个时候，不一定非要按经济模式考虑，觉得一人一次献血多一些更便于后继的加工、使用。先有献血的，才有使用的 ,20200210-20200213,
"
纯Da纯",辛苦了，谢谢你。好好补回来 ,20200210-20200213,
"
果子冻jellyyy",互帮互助才能度过难关，好消息不断，希望疫情快过去 ,20200210-20200213,
"
大漠清泉1130",特来点赞！ ,20200210-20200213,
"
时光里的匆匆过客",转发微博 ,20200210-20200213,
"
乔橙JOR",好吧 ,20200210-20200213,
"
云飞扬2046", 新冠的传染率是2，就是说一个传染俩。而如果康复者的血浆制品能1个救4个，那么迭代10次以后，就能拯救10.49万人，在前期措施逐步落实的情况，可以大大覆盖重症患者。对指数级别增长的传染，我们报之以指数级别增长的拯救。 ,20200210-20200213,
"
北落北海",8号开始临床治疗，李文亮医生只差一天 ,20200210-20200213,
"
九霄er",！ ,20200210-20200213,
"
JalWong",治愈者，这些人入院就查过传染病的 ,20200210-20200213,
"
小刘今天吃饱le吗",辛苦你了 好好休养 加油 ,20200210-20200213,
"
Ytian-t",希望好消息越来越多 ,20200210-20200213,
"
半个空中飞人",新冠的传染率是2，就是说一个传染俩。而如果康复者的血浆制品能1个救4个，那么迭代10次以后，就能拯救10.49万人，在前期措施逐步落实的情况，可以大大覆盖重症患者。对指数级别增长的传染，我们报之以指数级别增长的拯救。 ,20200210-20200213,
"
pekoss",真的 ,20200210-20200213,
"
一林在",太好了！ ,20200210-20200213,
"
贰零贰叁捌陆",加油呀！ ,20200210-20200213,
"
庆哥的兔子牙两颗",??希望真的是好消息?? ,20200210-20200213,
"
就是大静静",今日份好消息 ,20200210-20200213,
"
爱拖拉",太开心了，看来大家开工，开学，生活回复常态的一天会更早到来。 ,20200210-20200213,
"
程序员爱吃大米饭51266",加油 ,20200210-20200213,
"
iamlydiaaaaa",希望每一天都是好消息?? ,20200210-20200213,
"
想睡觉的一年四季",没看见中医粉说啥，光看见那个中医黑跟疯狗一样自己哔哔赖赖好几条 ,20200210-20200213,
"
冰雨火之哥哥",天佑中华 ,20200210-20200213,
"
郑小柒_",嗯。大家最近也都心情挺不好的。都理解 ,20200210-20200213,
"
我不愧是午后小甜饼",我最近才发现，身边的人都是聪明人，不代表所有人都是聪明人。只是人以群分，有墙而已。 ,20200210-20200213,
"
謝辰vivian",大家撑住啊?? ,20200210-20200213,
"
我不愧是午后小甜饼",+1。注意使用。最好还是有特效药。这个不算长久之计。 ,20200210-20200213,
"
铁锅铸坚强", 重磅好消息！治疗性新冠特免血浆制品投入临床！#抗击疫情 央企行动# ,20200210-20200213,
"
idiot一IQ",???? ,20200210-20200213,
"
taneva",政治高于科学，看官媒扶持中医就自嗨，外国人有提中药治病了吗，井底之蛙，希望你多吃马兜铃养生 ,20200210-20200213,
"
Dur啊",@-捕-风 ,20200210-20200213,
"
Hu啦呼啦圈",加油！！！ ,20200210-20200213,
"
口丁当小毛",预防估计用不了几天就代谢掉了啊…… ,20200210-20200213,
"
喝了雄黄酒的白娘娘",太好了 ,20200210-20200213,
"
酱酱酱a_",加油！！！ ,20200210-20200213,
"
我们都有各自的悲哀",@Whose谢先森 ,20200210-20200213,
"
涟梦轩菲",这段日子难得的好消息 ,20200210-20200213,
"
丢了free的minda",严格防护，医护怎么会没呢？ ,20200210-20200213,
"
你吃东西的样子真好看啊",好消息！！ ,20200210-20200213,
"
啊喔额烤红薯",太好了！！！ ,20200210-20200213,
"
Nico妮可橙",加油 ,20200210-20200213,
"
江伊文",不要理什么听楠那个人，阴阳怪气，纯属来挑事的 ,20200210-20200213,
"
折中折冲",看来，人类自我免疫能力就是强悍啊。上帝保佑中国。 ,20200210-20200213,
"
飞龙在天kl",请优先给一线医护人员用上 ,20200210-20200213,
"
RobinYuanKang",命好的拉一把命差的 ,20200210-20200213,
"
儿时晚",嗯嗯 理智回复。我也是看到很多黑中医的觉得很奇怪，很多人根本不是就事论事的在黑，只是为了黑而黑 ,20200210-20200213,
"
萌宝Melinda",这也太像韩国电影流感了吧 ,20200210-20200213,
"
科木童",hiv14天四代就能检测出来了！那些60天检测的，你是活在寒武纪吗？ ,20200210-20200213,
"
好好好好好困啊",终于利于上抗体了 ,20200210-20200213,
"
开高达的少女一",太好了，把痊愈的希望继续传递，让生机再次绽放在华夏大地，让疫情早日结束，大家加油?? ,20200210-20200213,
"
北方摄影人",危急时刻，不必强调志愿，可以临时立法，要求符合条件的康复者必须捐献。 ,20200210-20200213,
"
最爱芒果冰唷",加油⊙▽⊙  ,20200210-20200213,
"
儿时晚",随便啊 吐呗 ,20200210-20200213,
"
北野小宝北",?? ,20200210-20200213,
"
郑云龙的妻子",谢谢谢谢 ,20200210-20200213,
"
我比鹿晗帅100倍",已涨停了，可惜没买 ,20200210-20200213,
"
Cha_star",转发微博 ,20200210-20200213,
"
枯冢6471100096",但是需要这玩意的目前都是危重病人 ,20200210-20200213,
"
晏乐观",好消息 ,20200210-20200213,
"
OatmealCoffee",是啊 ,20200210-20200213,
"
The_Black-Rose",血浆要康复者捐献的吧？ ,20200210-20200213,
"
hey小梁_Eilene",加油啊 ,20200210-20200213,
"
蓬蓬的肥鹅",你不也在哔哔哔？？？ ,20200210-20200213,
"
喵丫想变回来",谢谢！！！ ,20200210-20200213,
"
香槟经年",真是好消息！鼓励康复者献血的同时，还是应该给与积极参与者一定的精神和物质上的鼓励！ ,20200210-20200213,
"
我不焦虑了",我再看见这种言论，我真的对中医越来越呕吐了 ,20200210-20200213,
"
你横冲直撞到我心上",加油！ ,20200210-20200213,
"
Dawn茴香",@有点帅气有点二的二哈哈 好消息 ,20200210-20200213,
"
小小丨乔巴",也是因为这套系统死了不少人，是把双刃剑，很多病都是因为触发免疫系统发起细胞因子风暴把自己给干死了 ,20200210-20200213,
"
Sortudo",?? ,20200210-20200213,
"
苏赫拉斯坦",一滴都没有了 ,20200210-20200213,
"
梦到越吃越瘦",你有病吧，你去抽个1000试试 ,20200210-20200213,
"
夏夏要up",加油 ,20200210-20200213,
"
屿南凉北ocean",好消息！！！！！ ,20200210-20200213,
"
多多多多多多yuki",@行云流水Yuki ,20200210-20200213,
"
犀哩犀哩",好消息！加油！！！ ,20200210-20200213,
"
在冬天只想睡觉",仿佛黑暗中摸索很久突然见到了一丝曙光 ,20200210-20200213,
"
绵绵冰怎么这么好吃",诶……微博本科率百分之四在你这就体现出来了 ,20200210-20200213,
"
0麻瓜",@薛定谔x_ ,20200210-20200213,
"
希望学生能考第一的张老师",层主说得没毛病啊 有的人真是天生杠精啊 ,20200210-20200213,
"
大禹驭龙",重磅好消息！“神奇解药”来了！ ,20200210-20200213,
"
绵绵冰怎么这么好吃",小伙汁 多读点书 层主说得没错 ,20200210-20200213,
"
勤奋的十一城",良性循环！救人救己！ ,20200210-20200213,
"
就是这么兔然",谢谢你们 ,20200210-20200213,
"
付爷爷过大年",好  ,20200210-20200213,
"
Rihanna____",@壬二酰二甘氨酸钾 ,20200210-20200213,
"
今天_星期9",又一个牛逼的来了！！！ ,20200210-20200213,
"
能者做不能者教",你要是康复患者，看见这个通知，你会怎么想?通知中能简单、清晰地说明细节，不是更有助于受众理解吗?要有零缺陷质量意识，第一次就做对，不要返工、补充。这不是喷子，这是精益求精。 ,20200210-20200213,
"
我又改名字了你造么",我看到哪里好像有消息在找康复病人捐献 ,20200210-20200213,
"
阁主__M",相信中医有可取之处的人也都相信西医，这是正常人的思维，也显示出取长补短的智慧。看到中医犹如看到杀父仇人一样，一味贬低中医的人跟地域黑一个样，脑子发育不健全，本身是一种病人。 ,20200210-20200213,
"
大路朝天tian",好消息终于来了 ,20200210-20200213,
"
sue76831",太好了 ,20200210-20200213,
"
我家到上地太远了",转发微博 ,20200210-20200213,
"
我是Libby呀",太好了！ ,20200210-20200213,
"
Meeew达达",带HIV病毒的怕是没那么容易痊愈吧 ,20200210-20200213,
"
All_VIVIDLY",?? ,20200210-20200213,
"
朱箫烬的钢琴盖掉下来了",人家会说，啥，不是靠患者自愈的吗？ ,20200210-20200213,
"
朱箫烬的钢琴盖掉下来了",中医黑又ptsd 了。 ,20200210-20200213,
"
突然变男孩",@白搭白瞎 ,20200210-20200213,
"
香草_珍宝珠",！！！ ,20200210-20200213,
"
小茜是小李子的",这个比疫苗靠谱 ,20200210-20200213,
"
-蛋糕蛋糕-",这算是好消息吧！ ,20200210-20200213,
"
芒种端午夏至",好消息！ ,20200210-20200213,
"
狗熊是狗",你说扶老携幼，扶老携幼自古就是道德，而不是法律义务。康复患者献血是英雄，不献是权利。 ,20200210-20200213,
"
我是谁_963",这个好像靠谱 ,20200210-20200213,
"
狗熊是狗",患者为什么欠整个社会的？就因为他病了吗？病毒不是患者造出来的，他们也是在不知情的情况下被传染的。 ,20200210-20200213,
"
火星村一家人",转发微博 ,20200210-20200213,
"
小林和小致",血液制品确实存在的风险比较大，没毛病 ,20200210-20200213,
"
正宗小饼君",转发微博 ,20200210-20200213,
"
我真是可爱坏了",来看@下飯蛋黃醬 ,20200210-20200213,
"
河豚鱼找好货",一个人的血浆可以救几个患者？ ,20200210-20200213,
"
迷迭香ff", 請幫忙轉發一下！//@宇懿Alex,20200210-20200213,
"
海边塔灯",转发微博 ,20200210-20200213,
"
肉山没魔王",首先你所说的常言道西医治标不治本是谁的常言，是谁给你灌输的这个理念？然后你说中医药效慢，但很有效，另外女生月经不调基本都是中药调好的，这两个论点有没有论据？有没有数据支撑？ ,20200210-20200213,
"
鹿笙JIANG",一定会的 ,20200210-20200213,
"
_籠目_",不要指责拒绝的人，而是应该赞扬捐血的人 ,20200210-20200213,
"
易只柯基",@啊墨阿墨 ,20200210-20200213,
"
弦月SYY",目前在缺乏疫苗和特效治疗药物的前提下，采用这种特免血浆制品治疗新冠病毒感染是最为有效的方法，可大幅降低危重患者病死率。由国药中国生物承担的“2019-nCoV感染恢复期患者特异血浆和特异免疫球蛋白制备”项目是科技部组织制定的国家重点研发计划“公共安全风险防控与应急技术装备 ,20200210-20200213,
"
仔妈121",加油！！重磅好消息 ,20200210-20200213,
"
一曲开天",高校有人用献血代替血液检查来确认自己是否感染HIV ,20200210-20200213,
"
marsyjj",恳请康复的病人在身体允许的前提下积极献血，以康复的病人越多，血浆就越多，血浆越多，康复的病人就越多。良性循环！！ ,20200210-20200213,
"
蛋白云竹DNA",科普一下，血液制品的病毒灭活和防控比医院输血和其他生物制品的病毒管理要严格太多了。。目前的工艺已经能完整确保不会病毒感染，除非是不正规的小作坊。 ,20200210-20200213,
"
呆桃味奶盖",终于等到好消息了 ,20200210-20200213,
"
糖果糖ying",人人为我，我为人人?????? ,20200210-20200213,
"
白猫不懂黑猫黑",请问血浆问血型吗 ,20200210-20200213,
"
88QQ1",明白人 ,20200210-20200213,
"
映伶平安健康喜乐",一起加油 ,20200210-20200213,
"
捆鹅",@婷花似美少女 ????！ ,20200210-20200213,
"
我见余暖哈哈",好消息！！！ ,20200210-20200213,
"
我见余暖哈哈",卧槽，你这智商哦，你数学老师的棺材板都翘起来了。 ,20200210-20200213,
"
Larycs",喜大普奔！ ,20200210-20200213,
"
88QQ1",谢谢你 ,20200210-20200213,
"
大象天",谢谢你们！！！！ ,20200210-20200213,
"
大能8768",辛苦啦！！ ,20200210-20200213,
"
孤笔不尽江川",好消息好消息 ,20200210-20200213,
"
Evalia",@磁带君 ,20200210-20200213,
"
ibuyaozhaowo",转发 ,20200210-20200213,
"
拈画笑",1,20200210-20200213,
"
-入紅塵婆娑",盼望好消息 ,20200210-20200213,
"
凉拌秋葵子",注意质量把控啊 ,20200210-20200213,
"
ZMY的秘密",@调皮的门牙 ,20200210-20200213,
"
晨楓_Master",#共同战疫# #武汉加油# ?? ,20200210-20200213,
"
今天无事发生吧",太棒了！ ,20200210-20200213,
"
零下饮冰",辛苦了 ,20200210-20200213,
"
一手术刀戳死你",辛苦啦 ,20200210-20200213,
"
小蹦蹦蹦豆子",转发让更多人看到 ,20200210-20200213,
"
vtvyvuy",危重病人特效药， ,20200210-20200213,
"
一只二狗抵三钱酒",带预言家，你来啦 ,20200210-20200213,
"
诗晓木兰",太好了 ,20200210-20200213,
"
郭三郭",加油啊祖国！ ,20200210-20200213,
"
圆滚滚的柑橘柚子",#武汉加油#希望有更多康复的人能伸出双手 ,20200210-20200213,
"
深蓝岛屿间",相信不会有人拒绝 ,20200210-20200213,
"
闻弋_Ares",加油 ,20200210-20200213,
"
关注济宁201809",可以使用克隆抗体的方法！ ,20200210-20200213,
"
小小小小小娘惹",脑子还不够大 ,20200210-20200213,
"
肥宅渣男",虽然看不懂，但我知道是个好消息，大家辛苦了 ,20200210-20200213,
"
JonesCute",@gunshoot_fever ,20200210-20200213,
"
晴天月雪",早就该这么做了 ,20200210-20200213,
"
沈医护理喵喵喵",有点不顺，我们支援得以让武汉同事不必担心手术用血，从而放开手研究新冠制品 ,20200210-20200213,
"
郑小柒_",我也看到不少新闻下面有人说用中医来治肺炎的。不能否认中医绝对的博大精深，很有可取之处，我之前胃病不舒服就是吃中医调好的，但中医也是绝对会耽误急症的，没别的意思就是觉得现在这种非常时期，没必要非得倡导中医治疗肺炎，本来中医也治不了。 ,20200210-20200213,
"
关注济宁201809",可以克隆新型冠状病毒的抗体！！！ ,20200210-20200213,
"
HAHA_nim",都快点好起来！！！ ,20200210-20200213,
"
vrrcsfx",好起来了啊 ,20200210-20200213,
"
沈医护理喵喵喵",健康人的，因为武汉无血可用，受卫健委指派保障武汉手术急诊用血 ,20200210-20200213,
"
湖卡-卡儿",转发微博 ,20200210-20200213,
"
是要成为富婆的女人",没有黑中医的意思，不过确实是经验科学，能讲清楚原理就更好了，还在发展中 ,20200210-20200213,
"
为为妈小怪兽",后续肯定会出台相应的流程的，病人从哪个医院出院，医院都会有病人的联系方式，估计已经开始在联系了，对这些患者的身体指标，医院比较了解也会相应做一些筛选，应该也不会让年纪大的痊愈者捐献的 ,20200210-20200213,
"
美味素菜包",都快好起来！ ,20200210-20200213,
"
桂小花的花",窗口期确实无法检测出来，但是在每一次献血之前除了检查还需要填一个问卷表。里面会详细的询问近期是否服用过感冒药、是否注射过疫苗、是否有高危性行为、是否吸毒等等内容。一个愿意无常献血的人想法是高尚的，对待这些问题应该可以如实作答。 ,20200210-20200213,
"
中国公知精神病总院发言人",重磅好消息，应广而告知！ ,20200210-20200213,
"
郑小柒_",成分复杂 ,20200210-20200213,
"
爱健身的铁头猛男",太好了 ,20200210-20200213,
"
爱健身的铁头猛男",加油加油加油加油加油加油 ,20200210-20200213,
"
云的聪明", 康复者血清是救命药，请康复者们参与捐献！//@微博政务,20200210-20200213,
"
夜不亮的灯",辛苦了，接下来都是好消息 ,20200210-20200213,
"
vivihmily",希望越来越多人治愈 ,20200210-20200213,
"
iris不开心",我们质控做得挺好 ,20200210-20200213,
"
iris不开心",你说得很对 ,20200210-20200213,
"
收收-演过了",不是大陆的？治疗食宿都是国家花钱 ,20200210-20200213,
"
-肥薯kk-",辛苦了！ ,20200210-20200213,
"
一盘凉拌木耳",朋友，新冠确诊与疑似病患的所有费用都是国家负担的，你忘记了吗现在就是国家付全款帮病患治好了病，再恳请他们能捐献一些血清帮助其他病患。 ,20200210-20200213,
"
MrJulys",所以免疫系统才是最好的良药 ,20200210-20200213,
"
HKC不加V",总算有了靠谱的好消息，加油 ,20200210-20200213,
"
翠花儿上凉皮儿",我一个老百姓，连一个口罩都搞不到，这东西研制出来了又能咋？洗洗睡了，都散了吧！ ,20200210-20200213,
"
舒云漫卷诗书喜欲狂",要是李医生能等到这一天，该有多好…… ,20200210-20200213,
"
梧桐树-树树",太棒了！ ,20200210-20200213,
"
Lelele-乐乐",预言家 ,20200210-20200213,
"
小河向前冲冲冲呀",好消息啊！！ ,20200210-20200213,
"
年弱初华",希望未来将至，中国经历这场历史的洗礼之后，留下的全是不屈与奋斗，还有最终人人得幸福的结果 ,20200210-20200213,
"
废物俱乐部部长",中国加油????武汉加油。 ,20200210-20200213,
"
莫名騎妙_草莓牛奶",让我看看还有没有杠精说 不能献血/献血没用/用了更坏 ,20200210-20200213,
"
LegencyEnd",那个啥美国神药打脸了吗？ ,20200210-20200213,
"
A1L1YNU2",有没有毛病我不知道 我不专业 就是吵的这帮人挺有意思 ,20200210-20200213,
"
Phenie_晴天",打字最快最简单?? ,20200210-20200213,
"
槿陆",说白了，入院治疗时早就筛查了，医疗系统比普通人考虑的多，乙肝五项、传染病筛查是常规流程 ,20200210-20200213,
"
儿时晚",??个人体质啦 青霉素也是很多过敏的 不过我觉得中药真的好苦 ,20200210-20200213,
"
吴骏琥",谢谢你 ,20200210-20200213,
"
说的就是你了哇",???????? ,20200210-20200213,
"
SunnyoO吖",要保证血液制品的品质 ,20200210-20200213,
"
我真是太可爱了不要为了我打架",暴哭 ,20200210-20200213,
"
屁事多睡着咯",哇哦！ ,20200210-20200213,
"
左岸藍魚",终于听到好消息了，希望能给疫区人民带来福音。 ,20200210-20200213,
"
铲屎官阿ye",希望后面有更多好消息??????不要再有推翻好消息的坏消息了?????? ,20200210-20200213,
"
杜钇樵dyq",加油啊中国加油????挺过这一关！ ,20200210-20200213,
"
村儿甜花花柚子园",确实 ,20200210-20200213,
"
笑起来眯眯眼的Leslie",好消息，希望恢复者能积极参与，大家加油 ,20200210-20200213,
"
骄傲的孔雀大王",好消息！！！ ,20200210-20200213,
"
doggiant",他提的是蛋白，想办法把核酸去掉病毒就没有了。 ,20200210-20200213,
"
星夜之歌黎明之诗",我个人捐的钱微不足道，单位上统一要求捐的，但是患者欠的不是我，是整个社会，你搞清楚社会责任是什么，没有社会责任，每个人都自私自利，那也不会有人扶老携幼了。 ,20200210-20200213,
"
刘小零童化身为龙",注意质量控制！！！ ,20200210-20200213,
"
劳动二重性",好消息 ,20200210-20200213,
"
小柴田純",这个对研发疫苗有帮助吗？ ,20200210-20200213,
"
火拳Ace57221",加油↖(^ω^)↗ ,20200210-20200213,
"
布布比叭卜",转发微博 ,20200210-20200213,
"
丢了free的minda",危重患者都不够呢 ,20200210-20200213,
"
笑看红绿",这消息太好了，在控制疫情方面很给力。 ,20200210-20200213,
"
狗熊是狗",1捐赠者同样不是被逼迫的，而是自愿的，所以康复患者也同样应该哈自愿。2你捐了吗？捐了多少？ ,20200210-20200213,
"
色令智明",我是很喜欢中医的，感觉孙思邈之类的大佬特酷！但不知道为啥，我一吃中成药就过敏，一喝中药就过敏，过敏三次后已经不太敢碰中药了 ,20200210-20200213,
"
个巡前排坐稳了",快点好起来吧！ ,20200210-20200213,
"
星夜之歌黎明之诗",自愿是指法律上自愿不强迫，但还有一种东西叫道义，叫社会责任，患者的命是诸多社会力量救回来的，管控上国家有责任，所以国家免医疗费，但捐献者不欠患者，所以患者欠捐献者的道义。 ,20200210-20200213,
"
_俺娘说咧不必在乎称呼_",有疫苗最好了，能治愈也还不错。毕竟谁都想健健康康的不想得病。 ,20200210-20200213,
"
浏阳睿阳",武汉加油！过段日子，我还带上老婆来你家玩。 ,20200210-20200213,
"
山丹县芙蓉兴盛超市",康复者好不容易康复了又因为失血过多住院怎么办噢…… ,20200210-20200213,
"
_你怎么穿人家品如的衣服_",这是给高层领导用的 ,20200210-20200213,
"
旒聿",#治疗性新冠特免血浆制品已投入临床# #武汉医疗物资明显好转但仍有缺口# #金银潭医院恳请康复患者捐献血浆# #假如一觉醒来疫情消失了# 我要好好吃顿火锅#成都火锅外卖# ,20200210-20200213,
"
荷包蛋撒点黑胡椒",这是最高效的治疗方法 ,20200210-20200213,
"
Tiramisu3522",希望后面都是好消息 ,20200210-20200213,
"
一许清茗",有病就去治 ,20200210-20200213,
"
南屏晚钟2010",加油！ ,20200210-20200213,
"
persephone0413",太好了！ ,20200210-20200213,
"
带带程十三",而且抗疫队伍做的事情多了去了，每一步都要向你汇报吗？真这么关注的话自己去知网搜啊，一天上百篇新论文自己看去 ,20200210-20200213,
"
望天狼人",金谭医院使用中医的以毒攻毒疗法。 牛逼呀。 中医思维的确好！ ,20200210-20200213,
"
小小小小小草喵",我记得最早出现康复者的时候，有报道称他们会产生抗体，我当时还很高兴说太好了有抗体就代表可以用他们的血清救人…还被喷了说有抗体也没用，结果…不知道那些喷我的有没觉得脸痛呢～ ,20200210-20200213,
