名字,正文,时间
"
文文儿是祖国的花朵",这个医生好可爱 心态好 加油  ,20200123-20200207
"
iCeily糖",其实我真的觉得国家已经做的很好了。几千个亿免费给治疗 不需要你花一分钱????每天不重样的给医护和病患搭配三餐??????全国加一起已经开除700多个 监督不到位的??官????还有很多为人民做事的 我们本来什么忙都帮不上 这个时候就不要再跟风起哄 给国家添乱了 ,20200123-20200207
"
onlycpmglove",黑话张嘴就来， ,20200123-20200207
"
这是一个废话机",其实我真的觉得国家已经做的很好了。几千个亿免费给治疗 不需要你花一分钱????每天不重样的给医护和病患搭配三餐??????全国加一起已经开除700多个 监督不到位的??官????还有很多为人民做事的 我们本来什么忙都帮不上 这个时候就不要再跟风起哄 给国家添乱了 ,20200123-20200207
"
水宝宝的麻麻",武汉政府真的是垃圾中的战斗机 ,20200123-20200207
"
BlackDamoiselle",看到这条评论好想哭 ,20200123-20200207
"
章鱼泡泡-",@旺仔小馒头0v0 ,20200123-20200207
"
onlycpmglove",收钱了吧？ ,20200123-20200207
"
Tessa-Cri",希望您早日康复 ,20200123-20200207
"
一颗大大的圆圆的馄饨",加油，一定会好起来的！谢谢您 ,20200123-20200207
"
喜仲元",楼主的三观真的很正了，我们的祖国为了我们已经很努力了，我们能做的就是不添乱，支持祖国。这时候抨击自己的国家是怎么想的。坏人哪里都有，现在他们已经被看到了，接下来的事情，交给祖国妈妈吧 ,20200123-20200207
"
Seveniw_",不要把别人对你的好当作应该的 就是国家给你惯的 ,20200123-20200207
"
一961",祝您早日康复 ,20200123-20200207
"
是小歪歪嘛",余医生心态很好啊，很亲切，心态好容易战胜疫情！ ,20200123-20200207
"
王源哥哥开宇宙bubu来接我啦",早日康复?? ,20200123-20200207
"
piko罒L罒",早日康复！！ ,20200123-20200207
"
YmmRainnS",是的 我在医院隔离不让你花一分钱 每天把饭菜送到你面前 每天都是不一样的菜 荤素搭配很营养 还有水果什么的 医院有就给你送 医生态度都超级好 我觉得国家真的挺好的 凡事都有正面反面 也不能因为几颗老鼠屎而把好的也给一棍子打死 ,20200123-20200207
"
恋初冬寒",谢谢你们守护全中国人民。医护人员万岁! ,20200123-20200207
"
Lucky迪丽瘦吧",我热爱我们的祖国！我们的中国????！ ,20200123-20200207
"
DM就是风筝啊",加油 ,20200123-20200207
"
彡彡滚滚",我在厦门，政府做的很好，很满足了。 ,20200123-20200207
"
大美妮_KS",祝您早日康复，一定要加油 ,20200123-20200207
"
WHLGDFD",武汉看到恨死你 ,20200123-20200207
"
小果爱吃红烧肉",抑郁症我没体会过，所以我不骂人家抑郁症如何如何难受。去武汉回来自我隔离你体会过吗？你没体会过凭什么说我骂武汉zf不配？我从武汉回来自我隔离的滋味你没体会过你凭什么这么大义凛然，你是圣母我不是，因为这事发生在我身上没发生在你身上，你体会不到隔离期的时候想哭都怕家里人发现的心情 ,20200123-20200207
"
Moka香草拿铁",加油早日康复！ ,20200123-20200207
"
20elilie01",支持中国 ,20200123-20200207
"
他不是Superman",早日康复，最后的胜利属于我们 ,20200123-20200207
"
Powerpuff_飞天小西西",他好乐观好可爱 加油??！ ,20200123-20200207
"
暴脾气的miss_Li",国家确实是好国家！相信党相信国家没有错，我们不能被一些蛀虫带了节奏！加油我的国 ,20200123-20200207
"
CC胖成球-",最后的胜利是属于我们的 ,20200123-20200207
"
雨你无瓜ww",希望您早日康复！ ,20200123-20200207
"
火之意志生生不息1",哦 ,20200123-20200207
"
安茜汐",武汉政府,20200123-20200207
"
亲爱的疯不二",真的。大到地级市小到小县城。都很严重。大家众志成城。我们小区业委会主任说经过这次。他说真的相信如果打仗 我们中国一定能赢。国家太牛逼 ,20200123-20200207
"
努力长大的企鹅崽",转发微博 ,20200123-20200207
"
天才少年小育杰杰",烂掉的何止武汉，只是发生在武汉，所以武汉露出来了。 ,20200123-20200207
"
俏梅俏",一定好起来啊，加油 ,20200123-20200207
"
喝菊花精长大的野孩子",会好起来的，祝早日康复，加油！ ,20200123-20200207
"
林哈哈0711",好和蔼可亲的医生爷爷啊，好善良，因为冲在最前面而被感染，这么积极乐观，希望你早日康复，能想象到你给病人医治时的场景，加油啊 ,20200123-20200207
"
邓邓邓有钱",希望您早日康复加油 ,20200123-20200207
"
等1杯茶顏悦色",你这个话有问题吧？哪怕武汉全灭对于国家也没什么？如果按照你这个思路 上次非典是不是也要全灭反正对国家也没什么 以后出现什么困难全灭就好了 ,20200123-20200207
"
一丢云",说的对！！总有些人一直在网上发布一些煽动性的言论……这个时候我们应该万众一心 ,20200123-20200207
"
火之意志生生不息1",我什么时候说境外势力了，我只叫你快滚啊 ,20200123-20200207
"
小貂蝉喽",祖国加油，我爱我的祖国。中华民族一定会挺过去的。祖国只是暂时受伤了，我们要好好保护他 ,20200123-20200207
"
达不溜爱壳私外",一定会好的， ,20200123-20200207
"
云朵脸红了哎",好人一生平安 您一定会好起来的 最后的胜利是属于我们的 ,20200123-20200207
"
有一只胖达",我们的祖国真的很好，爱她，加油 ,20200123-20200207
"
HiiiPoweRbitch",早日康复 ,20200123-20200207
"
我真是太太太可爱了z",我在石棉 zf做的很好 ,20200123-20200207
"
Yto_",祝您早日康复！ ,20200123-20200207
"
爱吃酱油的豆包",抑郁症好治，治你个锤子，那些药你吃过吗，晚上失眠你体会过吗，隔离谁不隔离，自己看看我给你描述的，别跟我叨叨了，我要去刚那些抹黑扶贫的fw了，再见 ,20200123-20200207
"
无限KN",要相信自己加油 ,20200123-20200207
"
邓阿腿呀",我的天，吓我一跳 ,20200123-20200207
"
小开心49212",祝您早日出院，谢谢告诉我们这么多，我这两天也是一开始发烧＋咳嗽，现在不发烧只是咳嗽，我还担心我被传染了，您这样一讲我觉得我应该就是普通感冒?? ，谢谢您的分享 ,20200123-20200207
"
antheyyy",@ventttt,20200123-20200207
"
芝麻的小尾巴",看视频了吗… 他说了平时接触的病人很多… 肺出了问题肯定是要做ct… ,20200123-20200207
"
一颗酸甜的士多啤梨",@__我能扣篮你信不信 ,20200123-20200207
"
我是大福唉",我们要相信我们的祖国，你今天看到这这一切援助都是因为我们的强大，祖国的繁荣昌盛 人民的生活富强 农民的朴实奉献 这些都是我们作为中国人骄傲的底气，网络有的时候放大很多不好的方面，不要被影响，做好隔离，为我们的祖国加油，也要对得起一线人员的付出，必胜拥抱你武汉 我的同胞兄弟姐妹 ,20200123-20200207
"
珍熙O",加油 ,20200123-20200207
"
我科不退役",@可爱全糖小饼干 ,20200123-20200207
"
小熊猫阿宝",早日康复 ,20200123-20200207
"
Yto_",必须顶！这片土地哺育了我，让我过上了幸福安慰的生活，让我接受了这么多年的教育，现在国家有难，我们更应挺身而出，好好工作努力深造我们可是社会主义的接班人！！ ,20200123-20200207
"
爱吃酱油的豆包",不，你老配了，你想别拉我，再见 ,20200123-20200207
"
Di士尼再逃公主_",但是对于那些隐瞒病情的就不应该免费给他治疗气死我了?? ,20200123-20200207
"
西柚小丸子儿",祝您早日康复 ,20200123-20200207
"
与你而已99915",您心态好好，精神也好好，期待你早日康复 ,20200123-20200207
"
小说热剧推荐",可是这听起来好可怕 ,20200123-20200207
"
彤美人儿-",真觉得我们的国家做的很好了，谢谢一线的去医务人员，你们辛苦了 ,20200123-20200207
"
小果爱吃红烧肉",我自己去过武汉，又自己隔离，因为武汉zf的瞒报导致我之前的自我隔离，而且隔离的时候承受的心理压力你体验过吗？你咋不骂抑郁症矫情呢，抑郁症也好治呀出去走走不就行了，春节对你来说如果只是放假那我无话可说，家人和亲人看起来在你心里没什么重量 ,20200123-20200207
"
多啦A梦有个环游世界梦",听口音像是湖北天门这边的人 ,20200123-20200207
"
一只幸运鹅游游",加油哦你真棒 ,20200123-20200207
"
张小北xnn",为啥我看完反而更恐慌了呢，这是抵抗力好的都突然加重5天没起来 ,20200123-20200207
"
常伴无影灯",武汉口音好熟悉，真像贺银成老师 ,20200123-20200207
"
或许你害怕仙人掌吗",武汉人已经气死了，生活都难，出门怕得病，不出门没吃得，太难了 ,20200123-20200207
"
yanj1a_",非常可爱的人，早日恢复健康 ,20200123-20200207
"
郑shangyuyuyu",有一个医生说有些轻重病人会突然严重，这时候医学已经跟不上治疗了，我想李文亮医生是因为这个原因吧 ,20200123-20200207
"
本人今年法考小混蛋",是的 我爱我的国家 作为当代大学生 我愿为我的国家奉献一切 ,20200123-20200207
"
小果爱吃红烧肉",不是我愿意怨恨，这种心理创伤已经存在了，我甚至还打了心理求助电话，等哪一天我不怨恨武汉zf了那一定是武汉zf领导下台了 ,20200123-20200207
"
大囍Girl",早点康复 奋斗在一线的可爱人 ,20200123-20200207
"
_若水-桃之夭夭",必须免费呀，不免费，会有很多人看不起，会产生报复社会的心理，那就乱套了 ,20200123-20200207
"
Grace_Lzy",我们讨厌的黑暗与我们爱的国家无关 ????，中国加油～ ,20200123-20200207
"
微信公众号晚韶华",叔叔，祝你早日康复 ,20200123-20200207
"
嘬奶盖的琪一",希望您早日康复 ,20200123-20200207
"
9100m",希望您早日康复身体健康，胜利属于我们???? ,20200123-20200207
"
不想被发现的美女",好感动啊冲在最前面的人一定要好起来！他真的好可爱 ,20200123-20200207
"
喵喵ACer",看你用词比较冲所以评论的，并没有上串下跳...，别回了，谢谢 ,20200123-20200207
"
Alisa没哭没闹就是忘了笑",我在浙江 政府各方面防御的都特别到位 相反我老家四川那边 村长带头开机麻为了赚台费天天开 我报警了警察开过两次都于事无补没有任何处罚现在依旧天天再开 ,20200123-20200207
"
艾特你的小可耐Zz",前辈加油 ,20200123-20200207
"
梁正双qb",。。。。。。。。。。。。。 ,20200123-20200207
"
Abbey_喵咕",真的 前几天都要气死了 天啊 没有国家他们还有命在这骂？ ,20200123-20200207
"
丧甜_",14号已经被感染了 还讲潜伏期 你看视频了吗 ,20200123-20200207
"
素素爱生活2019",很正常，每个人的先天底子不一样，每个人后天对健康的重视程度也不一样 ,20200123-20200207
"
孔金光",您心态真的很好，会鼓励很多患者，致敬下您的工作和您的做法 ,20200123-20200207
"
Alice王美人",加油，一定要健康平安，要活下来 ,20200123-20200207
"
诸峤峤峤峤",你也太可爱了吧！！！ ,20200123-20200207
"
美美菟仔",祝您早日康复！ ,20200123-20200207
"
妄言者110",加油，希望早日康复！ ,20200123-20200207
"
zokkkka",太感动了，一线医生辛苦了！！ ,20200123-20200207
"
Pious1988",叔叔真的超级可爱，你一定会好的 ,20200123-20200207
"
天城湖",转发微博 ,20200123-20200207
"
Yhayobbht",第一例确诊是十二二月初，麻烦你去读读早期的病例文献，还说不人传人。好的，你配得上新冠，咱都不配。 ,20200123-20200207
"
琦琦123456123456",希望您早日康复 ,20200123-20200207
"
Joanna江大人呀",是的，我也觉得真的爱国这时候就不应该被营销号带节奏！煽动情绪 ,20200123-20200207
"
哇_是小六呀",其实你可以选择不说话?? ,20200123-20200207
"
Rainbowayc",加油，一定要康复！ ,20200123-20200207
"
我头发是真爱油",我相信我们的国家 ,20200123-20200207
"
愿有梦可追",加油，好起来，都挺过去 ,20200123-20200207
"
喔里superwoman",希望感染的人员你们一定要有好的心态，好心态一定会让自己好起来的，加油！！！！ ,20200123-20200207
"
远坂安城",祝您早日康复！ ,20200123-20200207
"
風滾草閣下",太可爱了这位医生 ,20200123-20200207
"
何以解忧唯有狗勾",很乐观很可爱幽默的医生啊加油！ ,20200123-20200207
"
toshi是攻啊",确实是的，不要因为湖北zf作死上升到全国 ,20200123-20200207
"
哇_是小六呀",不会说话可以不说 都是无辜的好吗 有什么好相提并论 ,20200123-20200207
"
小妮砸Dan",爱祖国，但恨狗官 ,20200123-20200207
"
烟雨行舟·张译",对 ,20200123-20200207
"
M_爱迪森",哦 负担不起怎么办？人类清除计划？ O网页链接 ,20200123-20200207
"
Jacqueline_babe",恶化的四五天看似说的轻描淡写，其实经历了生死考验，病毒真的很可怕，大家一定要防范起来，团结就是胜利 ,20200123-20200207
"
芒芒--茉下翁",可爱又乐观的医生 ,20200123-20200207
"
爱心网友懒羊羊",加油！一定会康复的！ ,20200123-20200207
"
Frenemyyy",最后的胜利还是我们的 ,20200123-20200207
"
废柴肥小幺",基层从初一开始各司其职，保证大家在家的生活，病毒来袭，各种声音都有，但是网上抨击和带节奏的真的不知道是人是鬼。本人是基层家属，每天都在关注疫情，每天为家人和一线工作者加油，非常时期，大家都应该理智，有希望才有出路，都打起精神来，积极乐观才是抗疫的底气啊！ ,20200123-20200207
"
我不吃黄油哇w",早日康复 ,20200123-20200207
"
桑七七月",加油加油 ,20200123-20200207
"
汀汀汀汀汀霎喜欢峰峰",是呀 ,20200123-20200207
"
momo沵沵",我觉得这位医生好乐观好幽默！传递正能量祝早日康复?????? ,20200123-20200207
"
半糖奶盖加冰",请一定好起来！ ,20200123-20200207
"
一碗洋葱尖",看到您好起来，真的觉得好温暖 ,20200123-20200207
"
烟忆濛濛",@言桐kristea ,20200123-20200207
"
不喝雪碧喝果汁",哈哈好顽皮的样子 余医生太可爱了 您保重身体 大家一起加油防范 ,20200123-20200207
"
恋lianlala",看完了，很有趣，说了很多大实话。????1. 1.14号出现症状，说明那时候就有人传人了。????2. 新冠用临床诊断也可以很好的确诊，前段时间有多少人因为等试剂盒检测错过了最佳治疗期，然后又继续传染给了更多的人。最近才把临床诊断作为诊断方法之一。????3. 早发现早治疗，就怕拖成了中重度。。 ,20200123-20200207
"
锦zy鲤",早日康复 ,20200123-20200207
"
可靠的悠悠yoyo",始终都是因为医护人手不够，治疗条件不够，全国派去了10000多医护人员，还是不够。整个事情是不停变化的，所以因为医护人员不够的晚确诊要理解，就想封城前出来的五百万人一样，我同样可以理解，求生欲爆发。 ,20200123-20200207
"
IMLISHUANG",哎怎么说呢 如果只是怀疑就宣布这个消息 那武汉会跑出来更多人 会造成更大的恐慌 这种事确实很难办 ,20200123-20200207
"
皮卡丘妍宝",心态很棒！加油！！！ ,20200123-20200207
"
思考的胡萝卜",绝对是真爱啊 ,20200123-20200207
"
trwyr阿",说的对 ,20200123-20200207
"
莹莹酱不吃鱼",我明白你的意思 你是说从泱泱大国的角度 如果想把感染当数字 那就只是一个冰凉的数字 甚至这个数字的有无不会撼动中国根基 可我们的国家 把这数字视为一条条人命 看成一个个家庭 举国倾尽所有去守护这一个个有血有肉的数字 我觉得很骄傲 我们生在这样一个国家 这样一个把人民的生命看成天的国家 ,20200123-20200207
"
Girasolll",早日康复 ,20200123-20200207
"
唐糖wd",我真的觉得现在医生，教师，军人等这些职业待遇要好一些，一有困难拼命冲前线。我们就是太追逐明星什么了，不管是不是流量这些人才真正伟大，才值得我们尊敬，明星确实也在危难时捐款，也是好样的，但让这个社会不要只一味追逐明星，使我们遗忘了还有一群真正的战士 ,20200123-20200207
"
爱吃酱油的豆包",你看看层主说的是视频的事吗，微博看键盘侠就图一乐，看你们上蹿下跳恨不得亡国样子真是好笑呢 ,20200123-20200207
"
毛球南树毛球",好可爱的医生啊！！！中国加油！！！武汉加油！！！ ,20200123-20200207
"
ZUANGUU",加油加油?? ,20200123-20200207
"
张提莫与张尼莫",一定要加油战胜病毒?????? ,20200123-20200207
"
飘涌重熙",我在江西，我爱我的祖国！我们江西也做得很好 ,20200123-20200207
"
你看我是真心的嚒",是哦，像非典、埃博拉好像就是肆虐过后后期弱了直接自己消失了?? ,20200123-20200207
"
植发科的张诺诺",加油，期待你健康归来，胜利是属于我们的 ,20200123-20200207
"
Quorra有点花心啊",向奋斗咋个前线的医护人员致敬，你们都是英雄！ ,20200123-20200207
"
一只大凡子",希望所有医护人员可以平平安安，希望所有感染的人可以好起来，武汉加油，中国加油 ,20200123-20200207
"
啾吉儿",等武汉挺过来了，换了?? 官相信一定更加繁荣 ,20200123-20200207
"
爱吃酱油的豆包",怎么过来的，那我给你讲讲躺家里，随时量体温，光体温计都不小心打碎俩，身体问题无限放大化，担惊受怕，一有温度升高就激动，每天算自己十四天够了没，你以为就你自己在自我隔离吗。你要是不满意，信访办大门对你敞开 ,20200123-20200207
"
伍陆柒0202",因为他们的隐瞒全国人民在家坐月子 ,20200123-20200207
"
我是梨白",加油！期待您平安健康归来！ ,20200123-20200207
"
超级水果四季春少冰少糖",@悲歌三首买一切i 你听这个口音 ,20200123-20200207
"
暧儿baby",希望您早日康复 ,20200123-20200207
"
觉醒的富婆",胜利是我们的，祝你早日康复 ,20200123-20200207
"
独角兽小姐在摩纳哥",希望更多病人痊愈，“最后的胜利属于我们” ,20200123-20200207
"
小-连-长",口罩没戴好 ,20200123-20200207
"
屁屁的回忆梦录",你可别说掏老底了这句话比失去信心还可怕 ,20200123-20200207
"
天幕下的傻人-F",加油。。。早日康复 ,20200123-20200207
"
L_套着白色毛衣的猫",“吃得好才有抵抗力！”加油！ ,20200123-20200207
"
趣多多一定吃到豆L",@橙汁好嘿 ,20200123-20200207
"
圆蛋Girl",祝您早日康复 ,20200123-20200207
"
瓦妮莎200903",一定会好的，加油 ,20200123-20200207
"
浪湃TT",就感觉医者仁心，像所有接触过的白衣天使一样，都乐观的对你说，没事，要有信心，会过去的 ,20200123-20200207
"
你的老阿姨Doris",终于听到积极正面的声音了 你真棒 ,20200123-20200207
"
30Calliope7",早日康复！！！ ,20200123-20200207
"
喵喵ACer",咋一上来就骂人，这视频医生都说了14号就开始发烧做了CT就住院了 ,20200123-20200207
"
达拉蹦吧der喂",不知他人苦，不劝人大度。但我表达的意思你可能曲解了，别回复了，每天开心点，都会好起来的。 ,20200123-20200207
"
忘了加糖的糖醋鱼",这是一层难得没有极其极端的在攻击国家体系跟作为的评论了，看得还有些莫名的差异跟感动。 ,20200123-20200207
"
幕初Meng",恶藏于平凡，善不堪一至我们都知道他们撒谎了，但李医生付出的代价太大了，有的人天生黑心。 ,20200123-20200207
"
神秘花园里的小粽子",我觉得你的评论非常到位！！ ,20200123-20200207
"
摸摸我的小十1978",自身的免疫力足够强才可以战胜病毒 ,20200123-20200207
"
AMI纳",会好的！您加油，大家一起加油！ ,20200123-20200207
"
小鱼跳跳虎",他也许可能感染的一代最严重的那批吧 ,20200123-20200207
"
eleinsr",我想知道他是怎么判断就算是老婆被感染也是轻症 ,20200123-20200207
"
HeartonLock",加油加油 ,20200123-20200207
"
方糖夹子",是啊是啊，说白了很多事情最后还不是国家来收拾这些烂摊子，那些动不动就上升中国梦的怕真不是反动势力？？？ ,20200123-20200207
"
寂静月亮船",胜利终将属于人类，加油 ,20200123-20200207
"
槿觅_Emma",如果医生有长期抽烟史的话也会影响很大 ,20200123-20200207
"
爱吃酱油的豆包",你看看那些陆续发病的医护大多是二十左右发病的，你有吗，你配吗 ,20200123-20200207
"
美女鱼_",@-楊宇飞 有老贺的感觉 ,20200123-20200207
"
12345果粒",早日康复 ,20200123-20200207
"
爱吃酱油的豆包",拜年你去啊，你看你的亲戚朋友会不会给你好脸色，春节国家取消你假期了？ ,20200123-20200207
"
很乖voo",希望感染病毒的人都快点好起来???? ???? ???? ,20200123-20200207
"
小咕总",一看什么国不将国就烦，说得快亡国一样，难道国家内部矛盾被激起，你就能避免吗？人民和国家是一体的，看问题能不能有点大局观。别因为个别案例就觉得国家坏透一样，这种心态太幼稚又坏。因个别就把政府里真正做事的人寒了心 ,20200123-20200207
"
李30606",热爱我们的祖国 ,20200123-20200207
"
左岸·猫儿",你的好全国人民看到，好人有好报，你的子孙后代都会好，加油！ ,20200123-20200207
"
喜欢花花的翠翠",给你一个赞 ,20200123-20200207
"
Lnisnek",加油?? ,20200123-20200207
"
柑柠ling",保持乐观心态，积极抗争 ,20200123-20200207
"
loveKEYyou",秋后算账，气死了某些垃圾玩意 ,20200123-20200207
"
陪伴吗可笑",好感动 ,20200123-20200207
"
抹下月光",党中央那句，始终要把人民的生命安全放在首位不是句假大空！ ,20200123-20200207
"
Catherine12121212",赞同！国家危难时刻多体会下不容易，键盘侠不知道哪里来的仇恨 ,20200123-20200207
"
噗噗20865",就是啊，我寻思着李医生的同事怎么可能会不全力救治，病情这种事谁说得准啊，只能说年轻治愈的比例比老年人大，又不是100%的，李医生去世我们都惋惜，但是如果说一线没有全力抢救真的寒了很多医护人员的心，他们都是默默无名奋战在前线的人啊 ,20200123-20200207
"
达拉蹦吧der喂",那你愿意一直这么怨恨着每一天吗？我没有劝人大度，我只是希望这个时候大家把关注点放在疫情防控和治疗上，满屏的负面情绪看着舒服吗？骂天骂地有用吗？我家小区一共有38栋，旁边33栋有一家3口确诊，小区大门口是个大型农贸市场，也确诊一例，你看我发微博骂了吗？我也没在任何官微下骂过。 ,20200123-20200207
"
Miffy君",你是看得懂我说的话的，其他的人真的是醉了，是什么阅读理解能力了 ,20200123-20200207
"
Kamarov1980",我看现在损失更大了吧 ,20200123-20200207
"
MIC不二",@有机废品 ,20200123-20200207
"
薯片炖土豆牛肉",老爷子一定要保持乐观的心态啊啊！加油！！冲！！ ,20200123-20200207
"
潘朵拉小小姐",希望所有的人都快好起来，大家都被治愈好?? ,20200123-20200207
"
nastria",爱我中华加油 ,20200123-20200207
"
小源源呀呀呀",现在是追问的时候吗？现在是全民抗疫，救人的时刻！ ,20200123-20200207
"
winner东东东",对！好几例医生感染牺牲，就天天刷李文亮，抓着不放，居心何在 ,20200123-20200207
"
讨厌自以为是的人",这个时候最重要的是凝心聚力，不要被键盘侠带偏了节奏 ,20200123-20200207
"
季lialy",棒，心态很好，希望千千万万感染了肺炎的人请和这位医生一样保持好的心态，会好的 ,20200123-20200207
"
dhdixyeifuf",一个可爱乐观的大叔@胡同儿李 ,20200123-20200207
"
风信子轻飞扬",谢谢您，辛苦了，多保重！ ,20200123-20200207
"
嘟嘟熊孩子cc",可爱的叔叔，大家一起加油 ,20200123-20200207
"
他们都叫我J",想想国家付出的巨大代价我就心疼，这帮?? 官真该死 ,20200123-20200207
"
IX_II_VII",祝您早日康复 ,20200123-20200207
"
晨落萍水尖",武汉政府是最大的造谣者 ,20200123-20200207
"
多多多多多俊",我在山东 政府做的很好 我爱我的祖国 中国加油！武汉加油??我们一定会很快渡过难关 ,20200123-20200207
"
小呃点点",总结一下，对抗病毒，心态要好，要吃好睡好，要相信国家和医生，胜利是属于我们的 ,20200123-20200207
"
小小滴小花猪",早日康复，加油??医生 ,20200123-20200207
"
小果爱吃红烧肉",我湖北襄阳的，我家春节没有一个亲朋好友来拜年，而且还有亲友回不来，你要说这也算春节那我无话可说 ,20200123-20200207
"
黑发小沙弥bila",他早知道有这个病啊 很多人一月二十几才知道这个病的去检验想住院都没床位了 ,20200123-20200207
"
Yhayobbht",早过潜伏期了，脑子是个好东西，可惜你也没有 ,20200123-20200207
"
件儿姐",加油！加油！加油！你一定会好起来的！我们一定能赢！ ,20200123-20200207
"
jjjust4funn",他看起来太亲和了 一定要好起来 ,20200123-20200207
"
跟着三毛流浪",好可爱啊，还特别乐观！一定会早日康复的！ ,20200123-20200207
"
小果爱吃红烧肉",那被确诊的百步亭居民就该承受被隔离的痛苦吗？ ,20200123-20200207
"
花开五次",转发微博 ,20200123-20200207
"
Show_小寒",这个口音跟贺银成老师好像哦 ,20200123-20200207
"
YiBo_幼兒園扛壩子",挺住，加油 ,20200123-20200207
"
不是你爸爸的爸",睁眼说瞎话，眼珠都烂了 ,20200123-20200207
"
CoffeeDor",呵呵呵?? 和金政委一样的口音！ ,20200123-20200207
"
小果爱吃红烧肉",李文亮医生不是个案你多看新闻好吗，那时候已经有家属也被传染，而且有死亡病例。我攻击武汉zf是我因为zf和媒体瞒报12号去了武汉旅游14号回来，而且进了市中心医院和汉口火车站，我20号后的隔离期怎么过来的你知道吗？我出现干呕和急喘甚至开始咳嗽，门也不敢出，我不像武汉zf一样觉得传染市民也无所谓 ,20200123-20200207
"
再见未名海O",希望您早点恢复 感谢您 ,20200123-20200207
"
记得喝八杯水",？？你这话说的好欠骂。你只会抓着李文亮医生不放，也可以理解为是蹭热度，而不是真正地心疼每个奋斗在抗疫一线的人！ ,20200123-20200207
"
扁乎乎的方肥肥",加油！一切都会好起来的！！ ,20200123-20200207
"
秀儿青Ray",加油 ,20200123-20200207
"
恬添甜呀",加油！ ,20200123-20200207
"
关耳小cuo",可是我想到了李文亮年轻的身体 ,20200123-20200207
"
7yolo_",身在中国真的很骄傲自豪啊一切会马上好起来的！ ,20200123-20200207
"
教育学考研人333",14号？那时候不是说没有吗 ,20200123-20200207
"
半傻半呆半疯癫嗯哼嗯哼蹦擦擦",你怎么样，中国便怎么样。你是什么，中国便是什么。你有光明，中国便不黑暗作为一个普通人不抱怨不给祖国找麻烦。默默无闻无私奉献的永远是那些前线的医护人员军人和警察，不管是制度还是什么他都有两面性，团结一致是现在全国人民应该做的。看到大部分评论都是正能量有素质有分辨力，祖国会越来越好 ,20200123-20200207
"
一粒麦子啦啦",无论如何，患病的人都如此坚强，我们更应该要坚强 ,20200123-20200207
"
爱睡觉的小迷糊糊",我们哈尔滨挨家挨户上门发酒精，我觉得挺好的，要骂就骂WH那帮草菅人命的狗官 ,20200123-20200207
"
熟悉的陌生人曾经",加油 武汉 加油 我的祖国 我爱你???? ,20200123-20200207
"
陈瑾逸哥哥",每天刷微博，我就觉得我很爱我的国家。希望有的病人及时就医不要隐瞒病情不要再给国家拖后腿了，就是因为这些人瞎跑传染了一大片，疫情也就一直没能控制好，希望疫情快快结束，希望武汉快点好起来，心疼武汉，心疼我的祖国。 ,20200123-20200207
"
爱吃酱油的豆包",你家春节取消了嗷，百步亭是有多人发病，但现在百步亭居民确实安定，b站上一堆视频你不会去看吗，对于不便出行的居民，社区都是送菜上门，每天随访，你键盘可以吗 ,20200123-20200207
"
游记银河",有潜伏期啊。。。。而且不能确定的事情为什么要讲来让我们人心惶惶 ,20200123-20200207
"
真实是最大的谎言",别胡说。我们国家老底厚着呢！我们国家会好起来的。???? ,20200123-20200207
"
掉进星期八",真的觉得祖国很棒了 ,20200123-20200207
"
兰陵守心",他们敲下键盘，撇下嘴巴，救的了人 ,20200123-20200207
"
玖玖柒v",愿您早日康复?? ,20200123-20200207
"
黎戈dulovemi",厉害了我的大哥，我就喜欢您这种精神 ,20200123-20200207
"
蘑菇丫丫宝贝",请您加油 ,20200123-20200207
"
fiobk",诶呦，终于看到有三观的人了，我们国家真的做的很不错了，这几天给我气的都不刷微博了 ,20200123-20200207
"
我想你在春夏秋冬",给我上去 ,20200123-20200207
"
Leon198211",一定要挺住 加油 ,20200123-20200207
"
哪里有卖兔兔",会好起来的 加油 ,20200123-20200207
"
MRT骑士",武汉要是全灭了，绝对不可能没什么的 ,20200123-20200207
"
2184200837255mingming",好乐观 ,20200123-20200207
"
被晒干了的鱼",这个口音真的很可爱，相信他的轻描淡写只是想最大程度减轻我们的恐慌，为大家打气，相信医生说的，一切都会好起来的，相信国家，相信自己！ ,20200123-20200207
"
Hihwic·",一定会好起来的！坚持住！马上就会春暖花开！！???? ,20200123-20200207
"
Lost975",?????? ,20200123-20200207
"
小果爱吃红烧肉",湖北人能骂武汉zf吗？我因为信了媒体说不人传人，在12号有朋友邀请一起去武汉旅游的时候（因为我觉得既然不人传人，那我只要不去华南海鲜市场就行）我去了，而且我还去了武汉市中心医院和汉口火车站。我能骂吗？我要不是命大没传染上我现在就在医院隔离了 ,20200123-20200207
"
简仙女佳",有完没完？请你客观看待事实，没有人希望李医生死！也不要再给国家添乱了！ ,20200123-20200207
"
nili自省笔记",还有人骂爱国的人，用词不堪入目，我都想说我愿意出那个250给你退出中国国籍。一边享受国家福利一边跟别的国家攀比说自己国家不好，跟呆湾似的… ,20200123-20200207
"
饭饭与星星",祝早日康复 ,20200123-20200207
"
花花长笑",太不容易了。加油啊！ ,20200123-20200207
"
红昌杂谈",#治愈患者平均住院10天左右# 年龄大的患者，用时间长，幸亏治好了 ,20200123-20200207
"
大贝二贝三贝",硬汉爷爷??加油！ ,20200123-20200207
"
快乐的木头2016",太好了 ,20200123-20200207
"
挖哈哈扫地僧",91岁老干部 ,20200123-20200207
